Count,Word,Max. Freq.,Min. Freq.,This Word,Total,Key Term Score,Definition,Lexicon Entries
60,δίκαιος,355,152,199,"42672,9","0,0191",observant of custom,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἕκαστος,195,195,195,"42867,9","0,009","each,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἄρχω,492,127,"193,5","43061,4","0,0134","to be first,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἔχω,1.499,0,"192,15","43253,55","0,0095",check,"LSJ, Autenrieth"
,ἔχω,1.499,0,"192,15","43445,7","0,0095","bear, carry, bring","LSJ, Middle Liddell, Slater"
,πάνυ,189,189,189,"43634,7","0,0159",altogether,"LSJ, Middle Liddell"
,λόγος,602,108,"188,17","43822,86","0,0115","computation, reckoning","LSJ, Middle Liddell, Slater, Autenrieth"
,ὅσος,188,188,188,"44010,86","0,0044","as great as, how great","LSJ, Middle Liddell, Slater, Autenrieth"
,εἶπον,447,101,"187,5","44198,36","0,0088",said,"LSJ, Middle Liddell, Slater, Autenrieth"
,μέγας,237,159,"178,5","44376,86","0,0031",big,"LSJ, Middle Liddell, Slater, Autenrieth"
70,ὅτι,1.574,2,"176,67","44553,53","0,0203",that,"Middle Liddell, Autenrieth"
,ἀνήρ,270,160,"175,83","44729,36","0,0045",nar-,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἀγαθός,329,126,"175,58","44904,95","0,0117",good:,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὅτι,1.572,0,"174,67","45079,61","0,0219",that,"LSJ, Middle Liddell, Slater, Autenrieth"
,Δεύς,4.264,0,"171,2","45250,81","0,0529",[unavailable],LSJ
,οἴομαι,917,48,"168,37","45419,18","0,0326","forebode, presage,","LSJ, Middle Liddell, Autenrieth"
,οὔτε,394,162,"165,62","45584,81","0,0116",and not,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὡς,2.620,0,"163,75","45748,56","0,0167","so, thus.","LSJ, Middle Liddell, Slater, Autenrieth"
,ὡς,2.620,0,"163,75","45912,31","0,0167","as, how;",Autenrieth
,φαίνω,314,137,"160,28","46072,59","0,0106",A ren.,"LSJ, Middle Liddell, Slater, Autenrieth"
80,μή,2.556,0,"159,75","46232,34","0,0239",mā´,"LSJ, Middle Liddell, Slater"
,μή,2.556,0,"159,75","46392,09","0,0239",[unavailable],LSJ
,μή,2.556,0,"159,75","46551,84","0,0239",lest perchance,"LSJ, Autenrieth"
,ἀληθής,362,92,"156,17","46708,01","0,0177",unconcealed,"LSJ, Middle Liddell, Autenrieth"
,πᾶς,1.998,0,"154,3","46862,3","0,0117",[unavailable],LSJ
,πᾶς,1.998,0,"154,3","47016,6","0,0117",[unavailable],LSJ
,πᾶς,1.998,0,"154,3","47170,9","0,0117",all,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἔοικα,290,119,"153,08","47323,98","0,0052","as,","LSJ, Middle Liddell, Slater, Autenrieth"
,τῇ,612,0,153,"47476,98","0,0079","here, there","LSJ, Middle Liddell, Autenrieth"
,ἐπί,600,0,150,"47626,98","0,0044","on, upon with gen., dat., and acc.","Middle Liddell, Slater, Autenrieth"
90,ἐπί,600,0,150,"47776,98","0,0044",being upon,LSJ
