Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
ἐπιστρέφω,,turn around,ῥῆμα,29
ὁρμέω,,lie at ancor,ῥῆμα,29
παραβοηθέω,,come to someone's aid (+dat),ῥῆμα,29
ὑπεκφεύγω,,escape,ῥῆμα,29
τὸ κέρας,,wing (of fleet/army),ὄνομα,29
τὰ ὅπλα,,weapons,ὄνομα,29
τὸ σημεῖον,,sign,ὄνομα,29
κενός,,empty,ἐπίθετον,29
ἅμα ἕῳ,ἅμ ̓ ἕῳ,at dawn,λόγος,29
ἐπιδιώκω,,pursue,ῥῆμα,29
καταφεύγω,,flee for refuge,ῥῆμα,29
περιμένω,,wait for,ῥῆμα,29
σφάζω,σφάττω,slay,ῥῆμα,29
ὑπομένω,,await (an attack); stand firm,ῥῆμα,29
φθάνω,,anticipate; do something before someone else,ῥῆμα,29
ἡ ἀταξία,,disorder,ὄνομα,29
ἡ βοήθεια,,help; aid,ὄνομα,29
ἡ κώπη,,oar,ὄνομα,29
τὸ ναυάγιον,,wrecked ship,ὄνομα,29
ἡ ὁλκάς,,merchant ship,ὄνομα,29
ἡ τροπή,,turn; turning; rout (of the enemy),ὄνομα,29
ἄτακτος,,disordered,ἐπίθετον,29
ἐναντίος,,opposed; opposite; hostile; enemy,ἐπίθετον,29
πλήν,,except (for)(+gen),πρόθεσις,29
ἀτάκτως,,in disorder,ἐπίρρημα,29
ὅθεν,,"from where, whence",ἐπίρρημα,29
ὅθενπερ,,"from where (indeed), whence (indeed)",ἐπίρρημα,29
δάκνω,,bite; sting,ῥῆμα,30
ἐράω,,love (+gen),ῥῆμα,30
λαλέω,,talk; chatter,ῥῆμα,30
λοιδορέω,,abuse,ῥῆμα,30
ὀδυνάω,,cause pain,ῥῆμα,30
στυγέω,,hate,ῥῆμα,30
ἡ καρδία,,heart,ὄνομα,30
οἱ πρυτάνεις,,presidents,ὄνομα,30
κύριος,,having authority; legitimate; regular,ἐπίθετον,30
ἀτεχνῶς,,simply; really,ἐπίρρημα,30
εἶτα,,"then, next",ἐπίρρημα,30
οὐδεπώποτε,,never yet,ἐπίρρημα,30
ἀδικέω,,(do) wrong; injure,ῥῆμα,30
αἰθάνομαι,,perceive; learn; apprehend (+gen/acc),ῥῆμα,30
ἄχθομαι,,be vexed (at); be grieved (by)(+dat),ῥῆμα,30
ἡγέομαι,,"lead; think, consider (+dat)",ῥῆμα,30
οἴχομαι,,"have gone, have departed",ῥῆμα,30
προσδοκάω,,expect,ῥῆμα,30
ὁ/ἡ ἀλαζών,,"imposter, charlatan, quack",ὄνομα,30
ἡ ἀσπίς,,shield,ὄνομα,30
ἡ βία,,force; violence,ὄνομα,30
ὁ μήν,,month,ὄνομα,30
ὁ/ἡ ὄρνις,,bird,ὄνομα,30
τὸ χρυσίον,,gold coin; money; jewelry,ὄνομα,30
ἀθάνατος,,immortal,ἐπίθετον,30
ὅλος,,"whole, entire",ἐπίθετον,30
χρυσοῦς,,golden,ἐπίθετον,30
πρόσθε(ν),,before (of time or place),ἐπίρρημα,30
σαφῶς,,clearly,ἐπίρρημα,30
εἰς τὸ πρόσθεν,,forward,λόγος,30
ναὶ μὰ Δία,,"yes, by Zeus!",λόγος,30
οἴμοι κακοδαίμων,,poor devil! oh misery!,λόγος,30
ἀνακράζω,,shout,ῥῆμα,30
σπένδω,,pour a libation,ῥῆμα,30
τὸ στόμα,,mouth,ὄνομα,30
μιαρός,,defiled; fould; villainous,ἐπίθετον,30
ᾄδω,,sing,ῥῆμα,30
ἀκολουθέω,,follow (+dat),ῥῆμα,30
ἀπάρχομαι,,begin,ῥῆμα,30
εὐφημέω,,keep holy silence,ῥῆμα,30
μηνύω,,inform,ῥῆμα,30
ἡ εὐφημία,,call for holy silence,ὄνομα,30
οἱ οἰκέται,,household members,ὄνομα,30
μακάριος,,blessed; happy,ἐπίθετον,30
ἐξόπισθε(ν),,behind (+gen),πρόθεσις,30
καὶ μήν,,"truly, indeed",ἐπίρρημα,30
σφόδρα,,very much,ἐπίρρημα,30
