Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
νοστέω,,return home,ῥῆμα,19
συλλέγω,,"pick up, gather, collect; say, tell, speak",ῥῆμα,19
ἡ ἐλάα,ἐλαία,olive; olive tree,ὄνομα,19
ὁ νόστος,,return (home),ὄνομα,19
τὸ πεδίον,,plain,ὄνομα,19
ἀγνοέω,,do not know,ῥῆμα,19
ἀναπαύομαι,,rest,ῥῆμα,19
ἀφίσταμαι,,stand away; revold (from),ῥῆμα,19
ἐντυγχάνω,,meet (+dat),ῥῆμα,19
καθίστημι,,"set up; appoint; be appointed, established; become",ῥῆμα,19
παραινέω,,advise s.o. to do something,ῥῆμα,19
σημαίνω,,signal; sign; show,ῥῆμα,19
ὁ ποιμήν,,shepherd,ὄνομα,19
ἡ ὕλη,,"woods, forest",ὄνομα,19
ὁ φόβος,,fear; panic,ὄνομα,19
ὁ ὦμος,,shoulder,ὄνομα,19
βαθύς,,deep,ἐπίθετον,19
δεινός,,"terrible; clever, skilled",ἐπίθετον,19
ἔρημος,,deserted,ἐπίθετον,19
τραχύς,,rough,ἐπίθετον,19
ἥδιστα,,most sweetly; most pleasantly; most gladly,ἐπίθετον - ὑπερθετικόν,19
ἀρέσκει,,it is pleasing (+dat),ῥῆμα,20
δείκνυμι,,show,ῥῆμα,20
καθοράω,,look down on,ῥῆμα,20
τὸ αἷμα,,blood,ὄνομα,20
ὁ λέων,,lion,ὄνομα,20
τὸ μέγεθος,,size,ὄνομα,20
τὸ τέκνον,,child,ὄνομα,20
ὁ τόπος,,place,ὄνομα,20
ἀσφαλής,,safe,ἐπίθετον,20
λίθινος,,(made of) stone,ἐπίθετον,20
ἐντός,,"within, inside (prep +gen)",πρόθεσις,20
ἐξαίφνης,,"suddenly, unexpectedly",ἐπίρρημα,20
κάτω,,down; below,ἐπίρρημα,20
δήπου,,"doubtless, surely",μόριον,20
αἱ Ἐρινύες,,the Furies,ὄνομα,20
αἱ Μυκῆναι,,Mycenae,ὄνομα,20
δειπνέω,,eat (dinner),ῥῆμα,20
ἵημι,,"let go, release; send; throw",ῥῆμα,20
ἀφίημι,,"let go away, release; send away; throw away",ῥῆμα,20
ἐφίημι,,throw (at),ῥῆμα,20
συνίημι,,understand (+gen),ῥῆμα,20
κρύπτω,,hide,ῥῆμα,20
λανθάνω,,escape notice,ῥῆμα,20
οἰκτίρω,,pity,ῥῆμα,20
παρέρχομαι,,"go past; pass in, enter; come forward (to speak)",ῥῆμα,20
προέρχομαι,,go forward; advance,ῥῆμα,20
ἡ ὀργή,,anger,ὄνομα,20
ἔνιοι,,some,ἐπίθετον,20
ἔξω,,outside,ἐπίρρημα,20
πολύ,,"far, by far",ἐπίρρημα,20
τήμερον,,today,ἐπίρρημα,20
ἀγορεύω,,say; speak (in Assembly),ῥῆμα,21
ἀναγιγνώσκω,,read,ῥῆμα,21
βουλεύω,,deliberate; plan,ῥῆμα,21
θύω,,sacrifice,ῥῆμα,21
πολεμέω,πολεμῶ,make/go to war,ῥῆμα,21
πρόκειμαι,,lie before (+dat),ῥῆμα,21
ψηφίζομαι,,vote,ῥῆμα,21
ἡ ἀρχή,,beginning; rule; empire,ὄνομα,21
ἡ ἐκκλησία,,assembly,ὄνομα,21
ὁ πρέσβυς,,old man; ambassador (pl),ὄνομα,21
ὁ ῥήτωρ,,speaker; politician,ὄνομα,21
μύριοι,,"10, 000",ἐπίθετον,21
μυρίοι,,"numberless, countless",ἐπίθετον,21
νέος,,young; new,ἐπίθετον,21
ἕνεκα,,(gen+)for the sake of; because of,πρόθεσις,21
ἐάν,,if (+subj),σύνδεσμος,21
ἵνα,,so that in order to (+subj),σύνδεσμος,21
ἄρχω,,begin; rule (+gen),ῥῆμα,21
ἐπιβουλεύω,,plot against (+dat),ῥῆμα,21
νομίζω,,think,ῥῆμα,21
πληρόω,πληρῶ,fill,ῥῆμα,21
προάγω,,lead forward,ῥῆμα,21
ἡ ἀνάγκη,,necessity,ὄνομα,21
ἡ δίκη,,custom; justice; right; lawsuit; penalty,ὄνομα,21
ἡ δύναμις,,power; strength; (military) forces,ὄνομα,21
ὁ ἰδιώτης,,private person,ὄνομα,21
ἡ στρατιά,,army,ὄνομα,21
ἡ τιμή,,honor,ὄνομα,21
ὁ τρόπος,,manner; way,ὄνομα,21
ἡ χώρα,,land,ὄνομα,21
ἀδύνατος,,impossible; incapable,ἐπίθετον,21
δυνατός,,possible; capable,ἐπίθετον,21
ἑκάτερος,,each (of two),ἐπίθετον,21
ὅμιος,,like (+dat),ἐπίθετον,21
τελευταῖος,,last,ἐπίθετον,21
τοιόσδε,,such (the following),ἐπίθετον,21
τοιοῦτος,,such,ἐπίθετον,21
χρόνιος,,lengthy,ἐπίθετον,21
ἰδίᾳ,,privately,ἐπίρρημα,21
πεζῇ,,on foot,ἐπίρρημα,21
ἀνάγκη ἐστί(ν),,it is necessary,λόγος,21
ἀνθίσταμαι,,"stand up against, withstand (+dat)",ῥῆμα,21
ἀνίσταμαι,,stand up; (be forced to) move; evacuate,ῥῆμα,21
εἰσβάλλω,,invade,ῥῆμα,21
λούω,,wash,ῥῆμα,21
ὑπάρχω,,be; exist; be ready,ῥῆμα,21
ἡ ἀνάστασις,,forced move; move; evacuation,ὄνομα,21
ἡ οἴκησις,,dwelling,ὄνομα,21
ἡ φυλακή,,guard; garrison,ὄνομα,21
ὅστις,,"anyone who, whoever; anything that, whatever",ἀναφορικὴ ἀντωνυμία,21
ὅσος,,as great as; as much as,ἐπίθετον,21
πάντες ὅσοι,,"all that, whoever",λόγος,21
πάντα ὅσα,,"all that, whatever",λόγος,21
ἐπειδή,,when; since,σύνδεσμος,21
ἐπειδάν,,when (ever),σύνδεσμος,21
πρίν,,"until, before",σύνδεσμος,21
ἐνδίδωμι,,"give in, yield",ῥῆμα,22
ζεύγνυμι,,yoke,ῥῆμα,22
ὀδύρομαι,,grieve,ῥῆμα,22
προσδέχομαι,,"receive, admit; await, expect",ῥῆμα,22
ἡ ἅμαξα,,wagon,ὄνομα,22
ἡ βουλή,,plan; advice; Council,ὄνομα,22
τὸ ἔαρ,,spring,ὄνομα,22
οἱ οἰκεῖοι,,member of household; family; relations,ὄνομα,22
ὁ πύργος,,tower,ὄνομα,22
τὸ στρατόπεδον,,camp; army,ὄνομα,22
τοσόσδε,,so great; so many (pl),ἐπίθετον,22
ἐκτός,,outside (+gen),πρόθεσις,22
οὐδέποτε,,never,ἐπίρρημα,22
ὅπως,,"so that, in order to (+subj)",σύνδεσμος,22
ἐπεξέρχομαι,,"march ot against, attack (+dat)",ῥῆμα,23
καθέζομαι,,sit down; encamp,ῥῆμα,23
περιοράω,,"overlook, disregard",ῥῆμα,23
τάττω,,"marshal, draw up in battle array; I station, post",ῥῆμα,23
τέμνω,,cut; ravage,ῥῆμα,23
ἡ αἰτία,,blame; responsibility; cause,ὄνομα,23
ἡ εἰσβολή,ἡ ἐσβολή,invasion,ὄνομα,23
ἡ πεῖρα,,trial; attempt; test,ὄνομα,23
ἡ προσβολή,,attack,ὄνομα,23
τὸ φρούριον,,garrison,ὄνομα,23
τὸ χωρίον,,place; district,ὄνομα,23
ὁ χῶρος,,place,ὄνομα,23
ἐπιτήδειος,,friendly; suitable for,ἐπίθετον,23
ᾗπερ,,where,ἐπίρρημα,23
ὁπότε,,when,σύνδεσμος,23
ὁπόταν,,when(ever),σύνδεσμος,23
διαλύω,,disband (army); disperse (fleet),ῥῆμα,23
ἐάω,,"allow, let be",ῥῆμα,23
ἐμμένω,,remain in,ῥῆμα,23
ἐξαμαρτάνω,,miss; fail; make a mistake,ῥῆμα,23
οἴομαι,οἶμαι,think,ῥῆμα,23
ἡ ἐλπίς,,hope; expectation,ὄνομα,23
ἡ ἔξοδος,,going out; marching forth; military expedition,ὄνομα,23
τὸ στάδιον,,stade (607'/185m),ὄνομα,23
ἕκαστος,,each,ἐπίθετον,23
διδάσκω,,teach s.o. (+acc) something (+acc),ῥῆμα,24
ζάω,,live,ῥῆμα,24
μελετάω,,study; practice,ῥῆμα,24
παιδεύω,,educate,ῥῆμα,24
φοιτάω,,go; visit,ῥῆμα,24
τὸ γράμμα,,writing,ὄνομα,24
ὁ γραμματιστής,,schoolmaster,ὄνομα,24
ἡ γυμναστική,,gymnastics,ὄνομα,24
ὁ διδάσκαλος,,teacher,ὄνομα,24
ὁ κιθαριστής,,lyre player,ὄνομα,24
ἡ μουσική,,music,ὄνομα,24
ἡ παίδευσις,,education,ὄνομα,24
ὁ σοφιστής,,wise man; sophist,ὄνομα,24
ὁ τεκών,,parent,ὄνομα,24
ὁ υἱός,,son,ὄνομα,24
ἄδικος,,unjust,ἐπίθετον,24
αἰσχρός,,shameful,ἐπίθετον,24
ἄσμενος,,glad(ly),ἐπίθετον,24
δίκαιος,,just,ἐπίθετον,24
σμικρός,,small,ἐπίθετον,24
καθ ̓ ἡμέραν,,every day,λόγος,24
περὶ πολλοῦ ποιοῦμαι,,consider of great importance,λόγος,24
περὶ πλείστου ποιοῦμαι,,consider of greatest importance,λόγος,24
ἥδομαι,,"be glad, delighted; enjoy (+dat)",ῥῆμα,24
κιθαρίζω,,play the lyre,ῥῆμα,24
ἡ ἀρμονία,,harmony,ὄνομα,24
τὸ βιβλίον,,book,ὄνομα,24
ἡ διάνοια,,intention; intellect,ὄνομα,24
ὁ ἔπαινος,,praise,ὄνομα,24
ὁ μαθητής,,pupil,ὄνομα,24
ἡ πονηρία,,fault; wickedness,ὄνομα,24
ἡ πρᾶξις,,deed,ὄνομα,24
ὁ ῥυθμός,,rhythm,ὄνομα,24
τὸ σῶμα,,body,ὄνομα,24
ἡ σωφροσύνη,,"soundness of mind, prudence; moderation, self-control",ὄνομα,24
ἡ φωνή,,voice; speech,ὄνομα,24
ὄλβιος,,happy; blest; prosperous,ἐπίθετον,24
παλαιός,,old; of old,ἐπίθετον,24
χρήσιμος,,useful,ἐπίθετον,24
χρηστός,,useful; good,ἐπίθετον,24
αὖ,,again,ἐπίρρημα,24
ἀποδημέω,,be/go abroad,ῥῆμα,25
θάπτω,,bury,ῥῆμα,25
καταστρέφω,,overturn,ῥῆμα,25
κρίνω,,judge,ῥῆμα,25
ξενίζω,,entertain,ῥῆμα,25
περιάγω,,lead around,ῥῆμα,25
ἡ βασιλεία,,kingdom,ὄνομα,25
τὰ βασίλεια,,palace,ὄνομα,25
ὁ θεράπων,,attendant; servant,ὄνομα,25
ἡ θεωρία,,viewing; sight-seeing,ὄνομα,25
ὁ θησαυρός,,treasure; treasury,ὄνομα,25
ἡ σοφία,,wisdom,ὄνομα,25
ἡ τελευτή,,end,ὄνομα,25
οἷός τ ̓ εἰμί,,be able,λόγος,25
ἕλκω,,drag,ῥῆμα,25
καταφρονέω,,despise,ῥῆμα,25
ἡ εὐδαιμονία,,happiness; prosperity; good luck,ὄνομα,25
ἡ εὐχή,,prayer,ὄνομα,25
ὁ πλοῦτος,,wealth,ὄνομα,25
ἡ ῥώμη,,strength,ὄνομα,25
ἀμφότερος,,both,ἐπίθετον,25
ἱκανός,,sufficient; capable,ἐπίθετον,25
ἀπόλλυμι,,destroy; ruin; ose,ῥῆμα,26
δέομαι,,ask for (+acc); beg (+infin); want (+gen),ῥῆμα,26
ἐφίσταμαι,,stand near; appear to (in a dream)(+dat),ῥῆμα,26
καθαίρω,,purify,ῥῆμα,26
ὀνομάζω,,name; call,ῥῆμα,26
πυνθάνομαι,,inquire; learn by inquiry; hear; find out about,ῥῆμα,26
φαίνω,,show,ῥῆμα,26
φονεύω,,slay,ῥῆμα,26
ἡ ἀλήθεια,,truth,ὄνομα,26
ὁ γάμος,,marriage,ὄνομα,26
τὸ δόρυ,,spear,ὄνομα,26
ἡ νέμεσις,,retribution,ὄνομα,26
τὸ οἰκίον,,house; palace (pl),ὄνομα,26
ὁ ὄνειρος,,dream,ὄνομα,26
ἄκων,,unwilling(ly); involuntary(-ily),ἐπίθετον,26
ἕτερος,,one or the other (of two),ἐπίθετον,26
ὁ μὲν ἕτερος...ὁ δὲ ἕτερος,,the one...the other,λόγος,26
ὁπόθεν,,"whence, from where",ἐπίρρημα,26
ἀποφαίνω,,show; reveal; prove,ῥῆμα,26
μεθίημι,,set loose; let go,ῥῆμα,26
μέλει,,(there) is a care to X (dat) for Y (gen),ῥῆμα,26
μεταπέμπομαι,,send for,ῥῆμα,26
χαρίζομαι,,show favor to; oblige,ῥῆμα,26
ἡ ἄγρα,,hunt; hunting,ὄνομα,26
ἡ ἀθυμία,,lack of spirit; despair,ὄνομα,26
ἡ δειλία,,cowardice,ὄνομα,26
τὸ θηρίον,,"beast, wild beast",ὄνομα,26
ὁ κύκλος,,circle,ὄνομα,26
ἡ φήμη,,saying; report; voice; message,ὄνομα,26
ὁ φόνος,,murder,ὄνομα,26
ὁ φύλαξ,,guard; garrison,ὄνομα,26
ποῖος,,what kind of?,ἐπίθετον,26
ἀγείρω,,gather,ῥῆμα,27
ἀγωνίζομαι,,contend,ῥῆμα,27
ἀντιόομαι,,oppose (+dat),ῥῆμα,27
διαβαίνω,,cross,ῥῆμα,27
καταλύω,,"dissolve; reak up, destroy",ῥῆμα,27
μέμφομαι,,"blame, find fault with (+dat/acc)",ῥῆμα,27
