,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
104,εἶναι,εἰμί,"εἰμί, εἰμί, ἔσομαι, ΧΧΧ, ΧΧΧ, ΧΧΧ, ΧΧΧ, be",ei)=nai,  present active infinitive,1,Aesop's Fables,The Monkey and the Dolphin
105,αὐτῷ,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)tw=|,"  personal pronoun neuter dative singular,   personal pronoun masculine dative singular,   masculine dative singular,   neuter dative singular",1,Aesop's Fables,The Monkey and the Dolphin
106,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
107,συνήθη.,συνήθης,"συνήθης, living together; accustomed, customary",sunh/qh.,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural,  masculine nominative dual,  masculine vocative dual,  masculine accusative dual,  feminine nominative dual,  feminine vocative dual,  feminine accusative dual,  neuter nominative dual,  neuter vocative dual,  neuter accusative dual,   masculine accusative singular,   feminine accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
108,Καὶ,καί,"καί, καί, and, also, even",*kai\,"  conjunction,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
109,ὁ,ὁ,"ὁ, ὁ, the [definite article]",o(,  definite article masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
110,δελφὶς,δελφίς,"δελφίς, the dolphin",delfi\s,"  masculine nominative singular,  masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
111,ἐπὶ,ἐπί,"ἐπί, ἐπί, on (+ gen); on, pertaining to, on condition that (+ dat); onto, over, against, for (purpose) (+ acc)",e)pi\,"  preposition,   adverb (e.g., tmesis)",1,Aesop's Fables,The Monkey and the Dolphin
112,τοσούτῳ,τοσοῦτος,"τοσοῦτος, τοσοῦτος, τοσαύτη, τοσοῦτο/τοσοῦτον, so much/many, so large",tosou/tw|,"  demonstrative pronoun neuter dative singular,   demonstrative pronoun masculine dative singular",1,Aesop's Fables,The Monkey and the Dolphin
113,ψεύδει,ψεύδω,"ψεύδω, to cheat by lies, beguile",yeu/dei,"  present active indicative 3rd singular,   present middle-passive indicative 2nd singular",1,Aesop's Fables,The Monkey and the Dolphin
114,"ἀγανακτήσας,",ἀγανακτέω,"ἀγανακτέω, to feel irritation","a)ganakth/sas,","  aorist active participle masculine nominative singular,  aorist active participle masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
115,βαπτίζων,βαπτίζω,"βαπτίζω, to dip in",bapti/zwn," present active participle masculine nominative singular,  present active participle masculine vocative singular",1,Aesop's Fables,The Monkey and the Dolphin
116,αὐτὸν,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)to\n,"  personal pronoun masculine accusative singular,   masculine accusative singular",1,Aesop's Fables,The Monkey and the Dolphin
117,ἀπέκτεινεν.,ἀποκτείνω,"ἀποκτείνω, ἀποκτείνω, ἀποκτενέω, ἀπέκτεινα, ἀπέκτονα, ΧΧΧ, ΧΧΧ, kill",a)pe/kteinen.,"  aorist active indicative 3rd singular,  imperfect active indicative 3rd singular",1,Aesop's Fables,The Monkey and the Dolphin
118,Ὁ,ὁ,"ὁ, ὁ, the [definite article]",*(o,  definite article masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
119,μῦθος,μῦθος,"μῦθος, anything, delivered by word of mouth, word, speech",mu=qos,  masculine nominative singular,1,Aesop's Fables,The Monkey and the Dolphin
120,πρὸς,πρός,"πρός, πρός, in the eyes of, in the name of (+ gen); near, in addition to (+ dat); toward (+ acc)",pro\s,"  preposition,   adverb",1,Aesop's Fables,The Monkey and the Dolphin
121,ἄνδρας,ἀνήρ,"ἀνήρ, ἀνήρ, ἀνδρός, ὁ, man",a)/ndras,  masculine accusative plural,1,Aesop's Fables,The Monkey and the Dolphin
122,οἳ,οὗ,"οὗ, (adv.) where",oi(\, personal pronoun dative singular,1,Aesop's Fables,The Monkey and the Dolphin
123,τὴν,ὁ,"ὁ, ὁ, the [definite article]",th\n,  definite article feminine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
124,ἀλήθειαν,ἀλήθεια,"ἀλήθεια, ἀλήθεια, ἀληθείᾱς, ἡ, truth, reality",a)lh/qeian,  feminine accusative singular,1,Aesop's Fables,The Monkey and the Dolphin
125,οὐκ,οὐ,"οὐ, οὐ, οὐκ, οὐχ, not",ou)k,  adverb,1,Aesop's Fables,The Monkey and the Dolphin
126,εἰδότες,οἶδα,"οἶδα, οἶδα, εἴσομαι, ΧΧΧ, ΧΧΧ, ΧΧΧ, ΧΧΧ, know",ei)do/tes,"  perfect active participle masculine nominative plural,  perfect active participle masculine vocative plural",1,Aesop's Fables,The Monkey and the Dolphin
127,ἀπατᾶν,ἀπάτη,"ἀπάτη, a trick, fraud, deceit",a)pata=n, feminine genitive plural,1,Aesop's Fables,The Monkey and the Dolphin
128,νομίζουσιν.,νομίζω,"νομίζω, νομίζω, νομιέω, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην, consider, think, believe",nomi/zousin.," present active participle masculine dative plural,  present active participle neuter dative plural,   present active indicative 3rd plural",1,Aesop's Fables,The Monkey and the Dolphin
