,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
151,ἂν,ἄν,"ἄν, ἄν, modal particle",a)\n,  modal particle,1,Aesop's Fables,The Fox and the Goat
152,κατεβηβήκεις,καταβαίνω,"καταβαίνω, καταβαίνω, step down; dismount; go down to the sea from inland",katebhbh/keis,  aorist active indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
153,πρὶν,πρίν,"πρίν, πρίν, (conj) (+ infinitive) before; (+ indic., or + ἄν and subj.) until",pri\n,"  adverb,   conjunction",1,Aesop's Fables,The Fox and the Goat
154,τὴν,ὁ,"ὁ, ὁ, the [definite article]",th\n,  definite article feminine accusative singular,1,Aesop's Fables,The Fox and the Goat
155,ἄνοδον,ἄνοδος,"ἄνοδος, having no road, impassable",a)/nodon," masculine accusative singular,  feminine accusative singular,  neuter nominative singular,  neuter vocative singular,   neuter accusative singular",1,Aesop's Fables,The Fox and the Goat
156,ἐσκέψω.,σκοπέω,"σκοπέω, σκοπέω/σκοπέομαι, look at; examine, consider",e)ske/yw., aorist middle indicative 2nd singular (cp σκέπτομαι),1,Aesop's Fables,The Fox and the Goat
157,Οὕτως,οὕτως,"οὕτως, οὕτω, οὕτως, in this way, so, thus",*ou(/tws,  adverb,1,Aesop's Fables,The Fox and the Goat
158,καὶ,καί,"καί, καί, and, also, even",kai\,"  conjunction,   adverb",1,Aesop's Fables,The Fox and the Goat
159,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Fox and the Goat
160,ἀνθρώπων,ἄνθρωπος,"ἄνθρωπος, ἄνθρωπος, ἀνθρώπου, ὁ, human",a)nqrw/pwn,  common genitive plural,1,Aesop's Fables,The Fox and the Goat
161,τοὺς,ὁ,"ὁ, ὁ, the [definite article]",tou\s,  definite article masculine accusative plural,1,Aesop's Fables,The Fox and the Goat
162,φρονίμους,φρόνιμος,"φρόνιμος, in one’s right mind, in one’s senses",froni/mous,"  masculine accusative plural,  feminine accusative plural",1,Aesop's Fables,The Fox and the Goat
163,δεῖ,δέω,"δέω, to bind, tie, fetter",dei=," present middle-passive indicative 2nd singular,  imperfect active indicative 3rd singular,   present active imperative 2nd singular,  present active indicative 3rd singular",1,Aesop's Fables,The Fox and the Goat
164,πρότερον,πρότερος,"πρότερος, πρότερος, προτέρᾱ, πρότερον, former, superior",pro/teron,"  masculine accusative singular comparative,  neuter nominative singular comparative,  neuter vocative singular comparative,   neuter accusative singular comparative",1,Aesop's Fables,The Fox and the Goat
165,τὰ,ὁ,"ὁ, ὁ, the [definite article]",ta\,"  definite article neuter nominative plural,   definite article neuter accusative plural,  definite article feminine nominative dual,  definite article feminine accusative dual",1,Aesop's Fables,The Fox and the Goat
166,τέλη,τέλος,"τέλος, τέλος, τέλους, τό, end, power",te/lh,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural,  neuter nominative dual,  neuter vocative dual,  neuter accusative dual",1,Aesop's Fables,The Fox and the Goat
167,τῶν,ὁ,"ὁ, ὁ, the [definite article]",tw=n,"  definite article feminine genitive plural,   definite article masculine genitive plural,   definite article neuter genitive plural",1,Aesop's Fables,The Fox and the Goat
168,πραγμάτων,πρᾶγμα,"πρᾶγμα, πρᾶγμα, πράγματος, τό, deed, affair, thing",pragma/twn,  neuter genitive plural,1,Aesop's Fables,The Fox and the Goat
169,"σκοπεῖν,",σκοπέω,"σκοπέω, σκοπέω/σκοπέομαι, look at; examine, consider","skopei=n,",  present active infinitive,1,Aesop's Fables,The Fox and the Goat
170,εἶθ',εἶμι,"εἶμι, εἶμι, -, -, -, -, -, go, come",ei)=q', present active indicative 3rd singular,1,Aesop's Fables,The Fox and the Goat
171,οὕτως,οὕτως,"οὕτως, οὕτω, οὕτως, in this way, so, thus",ou(/tws,  adverb,1,Aesop's Fables,The Fox and the Goat
172,αὐτοῖς,αὐτός,"αὐτός, αὐτός, αὐτή, αὐτό, same (adj in attributive position); -self, -selves (in predicate position or alone in nom); him, her, it, them (pronoun in gen, dat, acc)",au)toi=s,"  personal pronoun neuter dative plural,   personal pronoun masculine dative plural,   neuter dative plural,   masculine dative plural",1,Aesop's Fables,The Fox and the Goat
173,ἐγχειρεῖν.,ἐγχειρέω,"ἐγχειρέω, to put one’s hand in",e)gxeirei=n.,  present active infinitive,1,Aesop's Fables,The Fox and the Goat
